Date,Time,Minute,Solar Radiation (W/m^2),Outside Temperature (T[n-1]),Inside Temperature Middle (T[n-1]),Fan on/off,Actual Temperature Middle ((T[n])
2022/11/18,00:06:37,5,0,13.826181,17,0,17
2022/11/18,00:11:38,10,0,13.786181,17,0,17
2022/11/18,00:16:39,15,0,13.746181,17,0,17
2022/11/18,00:21:40,20,0,13.706181,17,0,17
2022/11/18,00:26:40,25,0,13.666181,17,0,17
2022/11/18,00:31:41,30,0,13.626181,17,0,17
2022/11/18,00:36:40,35,0,13.586181,17,0,17
2022/11/18,00:41:41,40,0,13.546181,17,0,17
2022/11/18,00:46:43,45,0,13.506181,17,0,17
2022/11/18,00:51:44,50,0,13.466181,17,0,17
2022/11/18,00:56:43,55,0,13.426181,17,0,16
2022/11/18,01:01:44,60,0,13.386181,16,0,16
2022/11/18,01:06:46,65,0,13.359514,16,0,16
2022/11/18,01:11:47,70,0,13.332848,16,0,16
2022/11/18,01:16:47,75,0,13.306181,16,0,16
2022/11/18,01:21:47,80,0,13.279514,16,0,16
2022/11/18,01:26:48,85,0,13.252848,16,0,16
2022/11/18,01:31:48,90,0,13.226181,16,0,15
2022/11/18,01:36:49,95,0,13.199514,15,0,15
2022/11/18,01:41:48,100,0,13.172848,15,0,15
2022/11/18,01:46:49,105,0,13.146181,15,0,15
2022/11/18,01:51:50,110,0,13.119514,15,0,15
2022/11/18,01:56:50,115,0,13.092848,15,0,15
2022/11/18,02:01:51,120,0,13.066181,15,0,14
2022/11/18,02:06:51,125,0,13.072848,14,0,14
2022/11/18,02:11:52,130,0,13.079514,14,0,14
2022/11/18,02:16:53,135,0,13.086181,14,0,14
2022/11/18,02:21:53,140,0,13.092848,14,0,14
2022/11/18,02:26:53,145,0,13.099514,14,0,14
2022/11/18,02:31:54,150,0,13.106181,14,0,14
2022/11/18,02:36:53,155,0,13.112848,14,0,14
2022/11/18,02:41:54,160,0,13.119514,14,0,14
2022/11/18,02:46:55,165,0,13.126181,14,0,14
2022/11/18,02:51:55,170,0,13.132848,14,0,14
2022/11/18,02:56:55,175,0,13.139514,14,0,14
2022/11/18,03:01:54,180,0,13.146181,14,0,14
2022/11/18,03:06:55,185,0,13.077014,14,0,14
2022/11/18,03:11:54,190,0,13.007848,14,0,14
2022/11/18,03:16:55,195,0,12.938681,14,0,14
2022/11/18,03:21:55,200,0,12.869514,14,0,14
2022/11/18,03:26:55,205,0,12.800348,14,0,14
2022/11/18,03:31:56,210,0,12.731181,14,0,14
2022/11/18,03:36:56,215,0,12.662014,14,0,14
2022/11/18,03:41:56,220,0,12.592848,14,0,14
2022/11/18,03:46:56,225,0,12.523681,14,0,14
2022/11/18,03:51:57,230,0,12.454514,14,0,14
2022/11/18,03:56:59,235,0,12.385348,14,0,14
2022/11/18,04:01:59,240,0,12.316181,14,0,14
2022/11/18,04:07:00,245,0,12.329514,14,0,14
2022/11/18,04:12:01,250,0,12.342848,14,0,14
2022/11/18,04:17:02,255,0,12.356181,14,0,14
2022/11/18,04:22:03,260,0,12.369514,14,0,14
2022/11/18,04:27:05,265,0,12.382848,14,0,14
2022/11/18,04:32:04,270,0,12.396181,14,0,14
2022/11/18,04:37:06,275,0,12.409514,14,0,13
2022/11/18,04:42:05,280,0,12.422848,13,0,13
2022/11/18,04:47:05,285,0,12.436181,13,0,13
2022/11/18,04:52:06,290,0,12.449514,13,0,14
2022/11/18,04:57:08,295,0,12.462848,14,0,14
2022/11/18,05:02:09,300,0,12.476181,14,0,14
2022/11/18,05:07:10,305,0.75,12.472848,14,0,14
2022/11/18,05:12:12,310,1.5,12.469514,14,0,14
2022/11/18,05:17:11,315,2.25,12.466181,14,0,14
2022/11/18,05:22:17,320,3,12.462848,14,0,14
2022/11/18,05:27:18,325,3.75,12.459514,14,0,14
2022/11/18,05:32:19,330,4.5,12.456181,14,0,14
2022/11/18,05:37:19,335,5.25,12.452848,14,0,14
2022/11/18,05:42:21,340,6,12.449514,14,0,14
2022/11/18,05:47:20,345,6.75,12.446181,14,0,14
2022/11/18,05:52:21,350,7.5,12.442848,14,0,14
2022/11/18,05:57:22,355,8.25,12.439514,14,0,14
2022/11/18,06:02:22,360,9,12.436181,14,0,14
2022/11/18,06:07:21,365,20.083333,12.727014,14,0,14
2022/11/18,06:12:22,370,31.166667,13.017848,14,0,15
2022/11/18,06:17:23,375,42.25,13.308681,15,0,15
2022/11/18,06:22:24,380,53.333333,13.599514,15,0,15
2022/11/18,06:27:25,385,64.416667,13.890348,15,0,16
2022/11/18,06:32:24,390,75.5,14.181181,16,0,16
2022/11/18,06:37:25,395,86.583333,14.472014,16,0,16
2022/11/18,06:42:24,400,97.666667,14.762848,16,0,18
2022/11/18,06:47:25,405,108.75,15.053681,18,0,19
2022/11/18,06:52:26,410,119.833333,15.344514,19,0,20
2022/11/18,06:57:26,415,130.916667,15.635348,20,0,22
2022/11/18,07:02:25,420,142,15.926181,22,0,23
2022/11/18,07:07:26,425,160.5,15.946181,23,0,24
2022/11/18,07:12:25,430,179,15.966181,24,0,24
2022/11/18,07:17:26,435,197.5,15.986181,24,0,26
2022/11/18,07:22:28,440,216,16.006181,26,0,27
2022/11/18,07:27:43,445,234.5,16.026181,27,0,28
2022/11/18,07:32:44,450,253,16.046182,28,0,28
2022/11/18,07:37:43,455,271.5,16.066182,28,1,29
2022/11/18,07:42:46,460,290,16.086182,29,1,24
2022/11/18,07:47:48,465,308.5,16.106182,24,0,22
2022/11/18,07:52:50,470,327,16.126182,22,0,25
2022/11/18,07:57:51,475,345.5,16.146182,25,0,26
2022/11/18,08:02:50,480,364,16.166182,26,0,27
2022/11/18,08:07:51,485,372.333333,16.159515,27,1,28
2022/11/18,08:12:52,490,380.666667,16.152849,28,0,22
2022/11/18,08:17:57,495,389,16.146182,22,0,24
2022/11/18,08:22:56,500,397.333333,16.139515,24,1,30
2022/11/18,08:27:59,505,405.666667,16.132849,30,1,26
2022/11/18,08:32:59,510,414,16.126182,26,1,25
2022/11/18,08:38:00,515,422.333333,16.119515,25,1,25
2022/11/18,08:43:04,520,430.666667,16.112849,25,1,25
2022/11/18,08:48:05,525,439,16.106182,25,1,26
2022/11/18,08:53:07,530,447.333333,16.099515,26,1,25
2022/11/18,08:58:11,535,455.666667,16.092849,25,1,26
2022/11/18,09:03:12,540,464,16.086182,26,1,26
2022/11/18,09:08:15,545,481.25,16.113682,26,1,26
2022/11/18,09:13:17,550,498.5,16.141182,26,1,26
2022/11/18,09:18:19,555,515.75,16.168682,26,1,26
2022/11/18,09:23:22,560,533,16.196182,26,1,26
2022/11/18,09:28:21,565,550.25,16.223682,26,1,26
2022/11/18,09:33:22,570,567.5,16.251182,26,1,26
2022/11/18,09:38:22,575,584.75,16.278682,26,1,26
2022/11/18,09:43:22,580,602,16.306182,26,1,27
2022/11/18,09:48:22,585,619.25,16.333682,27,1,27
2022/11/18,09:53:23,590,636.5,16.361182,27,1,27
2022/11/18,09:58:23,595,653.75,16.388682,27,1,28
2022/11/18,10:03:24,600,671,16.416182,28,1,27
2022/11/18,10:08:24,605,686.5,16.513682,27,1,27
2022/11/18,10:13:25,610,702,16.611182,27,1,27
2022/11/18,10:18:24,615,717.5,16.708682,27,1,26
2022/11/18,10:23:26,620,733,16.806182,26,1,27
2022/11/18,10:28:25,625,748.5,16.903682,27,1,28
2022/11/18,10:33:26,630,764,17.001182,28,1,27
2022/11/18,10:38:25,635,779.5,17.098682,27,1,27
2022/11/18,10:43:26,640,795,17.196182,27,1,28
2022/11/18,10:48:27,645,810.5,17.293682,28,1,28
2022/11/18,10:53:27,650,826,17.391182,28,1,26
2022/11/18,10:58:27,655,841.5,17.488682,26,0,27
2022/11/18,11:03:27,660,857,17.586182,27,1,31
2022/11/18,11:08:28,665,870.166667,17.657015,31,1,26
2022/11/18,11:13:28,670,883.333333,17.727849,26,1,27
2022/11/18,11:18:28,675,896.5,17.798682,27,1,27
2022/11/18,11:23:28,680,909.666667,17.869515,27,1,28
2022/11/18,11:28:28,685,922.833333,17.940349,28,1,28
2022/11/18,11:33:34,690,936,18.011182,28,1,28
2022/11/18,11:38:34,695,949.166667,18.082015,28,1,28
2022/11/18,11:43:36,700,962.333333,18.152849,28,1,28
2022/11/18,11:48:37,705,975.5,18.223682,28,1,26
2022/11/18,11:53:37,710,988.666667,18.294515,26,1,28
2022/11/18,11:58:36,715,1001.833333,18.365349,28,1,27
2022/11/18,12:03:38,720,1015,18.436182,27,1,29
2022/11/18,12:08:39,725,1008.25,18.413682,29,1,28
2022/11/18,12:13:39,730,1001.5,18.391182,28,1,28
2022/11/18,12:18:40,735,994.75,18.368682,28,1,24
2022/11/18,12:23:40,740,988,18.346182,24,1,25
2022/11/18,12:28:41,745,981.25,18.323682,25,1,25
2022/11/18,12:33:41,750,974.5,18.301182,25,1,26
2022/11/18,12:38:42,755,967.75,18.278682,26,1,28
2022/11/18,12:43:43,760,961,18.256182,28,1,28
2022/11/18,12:48:45,765,954.25,18.233682,28,1,28
2022/11/18,12:53:46,770,947.5,18.211182,28,1,26
2022/11/18,12:58:53,775,940.75,18.188682,26,1,28
2022/11/18,13:03:53,780,934,18.166182,28,1,30
2022/11/18,13:08:53,785,934.5,18.172015,30,1,28
2022/11/18,13:13:54,790,935,18.177849,28,1,28
2022/11/18,13:18:55,795,935.5,18.183682,28,1,31
2022/11/18,13:23:57,800,936,18.189515,31,1,31
2022/11/18,13:28:56,805,936.5,18.195348,31,1,30
2022/11/18,13:33:56,810,937,18.201182,30,1,30
2022/11/18,13:38:57,815,937.5,18.207015,30,1,29
2022/11/18,13:44:00,820,938,18.212848,29,1,30
2022/11/18,13:49:01,825,938.5,18.218681,30,1,29
2022/11/18,13:54:02,830,939,18.224515,29,1,29
2022/11/18,13:59:03,835,939.5,18.230348,29,1,29
2022/11/18,14:04:03,840,940,18.236181,29,1,28
2022/11/18,14:09:05,845,925.166667,18.221181,28,1,29
2022/11/18,14:14:04,850,910.333333,18.206181,29,1,29
2022/11/18,14:19:04,855,895.5,18.191182,29,1,29
2022/11/18,14:24:06,860,880.666667,18.176182,29,1,30
2022/11/18,14:29:06,865,865.833333,18.161182,30,1,30
2022/11/18,14:34:05,870,851,18.146182,30,1,30
2022/11/18,14:39:06,875,836.166667,18.131182,30,1,30
2022/11/18,14:44:06,880,821.333333,18.116182,30,1,29
2022/11/18,14:49:06,885,806.5,18.101183,29,1,29
2022/11/18,14:54:07,890,791.666667,18.086183,29,1,29
2022/11/18,14:59:06,895,776.833333,18.071183,29,1,29
2022/11/18,15:04:07,900,762,18.056183,29,1,29
2022/11/18,15:09:07,905,753.333333,18.01285,29,1,29
2022/11/18,15:14:12,910,744.666667,17.969516,29,1,30
2022/11/18,15:19:14,915,736,17.926183,30,1,30
2022/11/18,15:24:14,920,727.333333,17.882849,30,1,29
2022/11/18,15:29:15,925,718.666667,17.839516,29,1,29
2022/11/18,15:34:15,930,710,17.796183,29,1,28
2022/11/18,15:39:16,935,701.333333,17.752849,28,1,30
2022/11/18,15:44:16,940,692.666667,17.709516,30,1,28
2022/11/18,15:49:17,945,684,17.666182,28,1,29
2022/11/18,15:54:17,950,675.333333,17.622849,29,1,29
2022/11/18,15:59:18,955,666.666667,17.579515,29,1,26
2022/11/18,16:04:19,960,658,17.536182,26,1,23
2022/11/18,16:09:19,965,635.75,17.506182,23,0,22
2022/11/18,16:14:20,970,613.5,17.476182,22,0,27
2022/11/18,16:19:19,975,591.25,17.446182,27,0,29
2022/11/18,16:24:19,980,569,17.416182,29,1,28
2022/11/18,16:29:20,985,546.75,17.386182,28,1,24
2022/11/18,16:34:21,990,524.5,17.356182,24,0,25
2022/11/18,16:39:21,995,502.25,17.326182,25,1,30
2022/11/18,16:44:21,1000,480,17.296182,30,1,26
2022/11/18,16:49:21,1005,457.75,17.266182,26,1,25
2022/11/18,16:54:21,1010,435.5,17.236182,25,1,25
2022/11/18,16:59:23,1015,413.25,17.206182,25,0,24
2022/11/18,17:04:23,1020,391,17.176182,24,0,24
2022/11/18,17:09:24,1025,377.416667,17.183682,24,0,27
2022/11/18,17:14:25,1030,363.833333,17.191182,27,0,28
2022/11/18,17:19:27,1035,350.25,17.198682,28,0,28
2022/11/18,17:24:31,1040,336.666667,17.206182,28,0,28
2022/11/18,17:29:32,1045,323.083333,17.213682,28,0,28
2022/11/18,17:34:33,1050,309.5,17.221182,28,0,28
2022/11/18,17:39:34,1055,295.916667,17.228682,28,0,27
2022/11/18,17:44:35,1060,282.333333,17.236182,27,0,26
2022/11/18,17:49:35,1065,268.75,17.243682,26,0,26
2022/11/18,17:54:34,1070,255.166667,17.251182,26,0,25
2022/11/18,17:59:35,1075,241.583333,17.258682,25,0,25
2022/11/18,18:04:34,1080,228,17.266182,25,0,25
2022/11/18,18:09:36,1085,215,17.123682,25,0,24
2022/11/18,18:14:40,1090,202,16.981182,24,0,24
2022/11/18,18:19:41,1095,189,16.838682,24,0,24
2022/11/18,18:24:41,1100,176,16.696182,24,0,24
2022/11/18,18:29:41,1105,163,16.553682,24,0,23
2022/11/18,18:34:42,1110,150,16.411182,23,0,23
2022/11/18,18:39:43,1115,137,16.268681,23,0,23
2022/11/18,18:44:42,1120,124,16.126181,23,0,22
2022/11/18,18:49:43,1125,111,15.983681,22,0,22
2022/11/18,18:54:44,1130,98,15.841181,22,0,22
2022/11/18,18:59:48,1135,85,15.698681,22,0,22
2022/11/18,19:04:50,1140,72,15.556181,22,0,22
2022/11/18,19:09:50,1145,66.5,15.560348,22,0,21
2022/11/18,19:14:51,1150,61,15.564514,21,0,21
2022/11/18,19:19:53,1155,55.5,15.568681,21,0,21
2022/11/18,19:24:53,1160,50,15.572848,21,0,21
2022/11/18,19:29:54,1165,44.5,15.577014,21,0,20
2022/11/18,19:34:54,1170,39,15.581181,20,0,20
2022/11/18,19:39:56,1175,33.5,15.585348,20,0,20
2022/11/18,19:44:57,1180,28,15.589514,20,0,20
2022/11/18,19:50:02,1185,22.5,15.593681,20,0,19
2022/11/18,19:55:04,1190,17,15.597848,19,0,20
2022/11/18,20:00:04,1195,11.5,15.602014,20,0,20
2022/11/18,20:05:10,1200,6,15.606181,20,0,20
2022/11/18,20:10:11,1205,5.5,15.618681,20,0,20
2022/11/18,20:15:15,1210,5,15.631181,20,0,19
2022/11/18,20:20:15,1215,4.5,15.643681,19,0,19
2022/11/18,20:25:17,1220,4,15.656181,19,0,18
2022/11/18,20:30:17,1225,3.5,15.668681,18,0,19
2022/11/18,20:35:18,1230,3,15.681181,19,0,19
2022/11/18,20:40:19,1235,2.5,15.693681,19,0,19
2022/11/18,20:45:21,1240,2,15.706181,19,0,19
2022/11/18,20:50:23,1245,1.5,15.718681,19,0,20
